external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
1,"Arroz, grano, blanco, pulido, crudo",Cereales y tuberculos,,Cereales y tuberculos,100,g,339,6.9,77.5,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/1.htm
10,"Centeno, pan",Cereales y tuberculos,,Cereales y tuberculos,100,g,206,8.7,41.5,0.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/10.htm
103,"Repollito Bruselas, hoja, fresco, crudo - Brassica oleracea gemmifera",Verduras,,Verduras,100,g,58,4.4,8.9,0.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/103.htm
103-xls,"Repollito Bruselas, hoja, fresco, crudo",Verduras,,Verduras,100,g,58,4.4,8.9,0.5,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Vegetales.xls
106,"Salsifí, raiz, fresco, crudo - Trapogon porrifolium",Verduras,,Verduras,100,g,85,3.5,15.5,1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/106.htm
106-xls,"Salsifí, raiz, fresco, crudo",Verduras,,Verduras,100,g,85,3.5,15.5,1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Vegetales.xls
107,"Soja, semilla madura, seca, cruda - Glycine max. L",Verduras,,Verduras,100,g,356,34.6,11.2,24.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/107.htm
107-xls,"Soja, semilla madura, seca, cruda",Verduras,,Verduras,100,g,356,34.6,11.2,24.2,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Vegetales.xls
11,"Centeno, pan con harina integral",Cereales y tuberculos,,Cereales y tuberculos,100,g,214,10.4,41,0.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/11.htm
113,"Verdolaga, hoja y tallo, fresca, cruda - Portulaca oleracea",Verduras,,Verduras,100,g,23,1.6,3.3,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/113.htm
113-xls,"Verdolaga, hoja y tallo, fresca, cruda",Verduras,,Verduras,100,g,23,1.6,3.3,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Vegetales.xls
119,"Aceituna verde, pulpa, encurtida - Olea europaea",Frutas,,Frutas,100,g,144,1.5,4,13.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/119.htm
119-xls,"Aceituna verde, pulpa, encurtida",Frutas,,Frutas,100,g,144,1.5,4,13.5,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
12,"Maiz, choclo",Cereales y tuberculos,,Cereales y tuberculos,100,g,97,3.7,17.8,1.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/12.htm
120,"Ananá, pulpa, fresco - Ananassa sativa L.",Frutas,,Frutas,100,g,58,0.4,13.7,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/120.htm
120-xls,"Ananá, pulpa, fresco",Frutas,,Frutas,100,g,58,0.4,13.7,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
121,"Ananá enlatado, contenido envase",Frutas,,Frutas,100,g,87,0.4,21.1,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/121.htm
122,"Banana, pulpa, fresca - Musa sapientum L.",Frutas,,Frutas,100,g,99,1.2,23,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/122.htm
122-xls,"Banana, pulpa, fresca",Frutas,,Frutas,100,g,99,1.2,23,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
123,"Cereza, pulpa, fresca - Prunus avium L",Frutas,,Frutas,100,g,68,1.1,14.8,0.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/123.htm
123-xls,"Cereza, pulpa, fresca",Frutas,,Frutas,100,g,68,1.1,14.8,0.5,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
124,"Ciruela, pulpa, fresca - Prunus domestica L",Frutas,,Frutas,100,g,56,0.7,12.9,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/124.htm
124-xls,"Ciruela, pulpa, fresca",Frutas,,Frutas,100,g,56,0.7,12.9,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
125,"Ciruela, pasa, cruda - Prunus domestica L",Frutas,,Frutas,100,g,255,1.9,61.6,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/125.htm
125-xls,"Ciruela, pasa, cruda",Frutas,,Frutas,100,g,255,1.9,61.6,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
126,"Ciruela, pasa, hervida - Prunus domestica L",Frutas,,Frutas,100,g,165,1,40.1,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/126.htm
126-xls,"Ciruela, pasa, hervida",Frutas,,Frutas,100,g,165,1,40.1,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
127,"Coco, pulpa, fresco, crudo - Cocos nucifera",Frutas,,Frutas,100,g,382,3.4,14,34.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/127.htm
127-xls,"Coco, pulpa, fresco, crudo",Frutas,,Frutas,100,g,382,3.4,14,34.7,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
128,"Damasco, pulpa, fresco, crudo - Prunus Armeniaca L.",Frutas,,Frutas,100,g,57,1,12.9,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/128.htm
128-xls,"Damasco, pulpa, fresco, crudo",Frutas,,Frutas,100,g,57,1,12.9,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
129,"Durazno, pulpa, fresco, crudo - Prunus persica L.",Frutas,,Frutas,100,g,51,0.5,12,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/129.htm
129-xls,"Durazno, pulpa, fresco, crudo",Frutas,,Frutas,100,g,51,0.5,12,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
13,"Maiz, grano, entero (Zea mays spp) - Zea mays",Cereales y tuberculos,,Cereales y tuberculos,100,g,346,9.5,67.6,0.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/13.htm
13-xls,"Maiz, grano, entero (Zea mays spp)",Cereales y tuberculos,,Cereales y tuberculos,100,g,346,9.5,67.6,0.9,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Cereales.xls
130,"Durazno, pulpa, envasado al natural - Prunus persica L.",Frutas,,Frutas,100,g,75,0.4,18.2,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/130.htm
130-xls,"Durazno, pulpa, envasado al natural",Frutas,,Frutas,100,g,75,0.4,18.2,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
132,"Frutilla pulpa, fresca, cruda - Fragarta h chiloensis Duch Var, ananassa B.",Frutas,,Frutas,100,g,41,0.8,8.1,0.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/132.htm
132-xls,"Frutilla pulpa, fresca, cruda",Frutas,,Frutas,100,g,41,0.8,8.1,0.6,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
133,"Granada, pulpa, fresca - Punica granatium L.",Frutas,,Frutas,100,g,75,0.6,17.7,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/133.htm
133-xls,"Granada, pulpa, fresca",Frutas,,Frutas,100,g,75,0.6,17.7,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
134,"Higo, pulpa, fresca - Ficus carica L.",Frutas,,Frutas,100,g,88,1.4,19.6,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/134.htm
134-xls,"Higo, pulpa, fresca",Frutas,,Frutas,100,g,88,1.4,19.6,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
135,"Kaki, pulpa, fresco - Diospyrus Kaki L.",Frutas,,Frutas,100,g,87,0.8,20,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/135.htm
135-xls,"Kaki, pulpa, fresco",Frutas,,Frutas,100,g,87,0.8,20,0.4,https://www.argenfood.unlu.edu.ar/Tablas/Grupo/Frutas.xls
