external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
746,Aceite de algodón,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
747,Aceite de cacahuete,Aceites y grasas,,Grasas y aceites,100,g,883.44,0.0,0.0,99.9,https://www.bedca.net/bdpub/index.php
748,Aceite de coco,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
753,Aceite de colza,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
749,Aceite de germen de trigo,Aceites y grasas,,Grasas y aceites,100,g,883.44,0.0,0.0,99.9,https://www.bedca.net/bdpub/index.php
754,Aceite de grano de uva,Frutas,,Grasas y aceites,100,g,883.44,0.0,0.0,99.9,https://www.bedca.net/bdpub/index.php
755,Aceite de hígado de bacalao,Aceites y grasas,,Grasas y aceites,100,g,883.44,0.0,0.0,99.9,https://www.bedca.net/bdpub/index.php
2542,Aceite de lino,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
2543,Aceite de oliva,Aceites y grasas,,Grasas y aceites,100,g,883.44,0.0,0.0,99.9,https://www.bedca.net/bdpub/index.php
751,Aceite de palma,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
752,Aceite de sésamo,Aceites y grasas,,Grasas y aceites,100,g,884.32,0.0,0.0,100.0,https://www.bedca.net/bdpub/index.php
2546,Aceite de soja,Legumbres,,Grasas y aceites,100,g,884.23,0.0,0.0,99.99,https://www.bedca.net/bdpub/index.php
2214,Aceituna,Frutas,,Frutas y derivados,100,g,119.89,1.3,1.0,12.5,https://www.bedca.net/bdpub/index.php
2215,"Aceituna negra, con hueso",Frutas,,Frutas y derivados,100,g,287.91,2.0,4.0,29.8,https://www.bedca.net/bdpub/index.php
2212,"Acelga, cruda",Verduras,,"Verduras, hortalizas y derivados",100,g,21.27,2.1,2.7,0.2,https://www.bedca.net/bdpub/index.php
2359,"Acelga, en conserva",Verduras,,"Verduras, hortalizas y derivados",100,g,17.37,1.8,2.3,0.08,https://www.bedca.net/bdpub/index.php
2360,"Acelgas, hervidas",Verduras,,"Verduras, hortalizas y derivados",100,g,28.92,1.9,4.37,0.39,https://www.bedca.net/bdpub/index.php
733,"Achicoria, cruda",Verduras,,"Verduras, hortalizas y derivados",100,g,18.71,0.5,2.8,0.6,https://www.bedca.net/bdpub/index.php
2425,Agua de la red,Cereales y tuberculos,,Bebidas (no lácteas),100,g,0.0,0.0,0.0,0.0,https://www.bedca.net/bdpub/index.php
