external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
167782,"Abiyuch, raw",Fruits,,Fruits and Fruit Juices,100,g,69.0,1.5,17.6,0.1,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167782/nutrients
171687,"Acerola juice, raw",Fruits,,Fruits and Fruit Juices,100,g,23.0,0.4,4.8,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171687/nutrients
171686,"Acerola, (west indian cherry), raw",Fruits,,Fruits and Fruit Juices,100,g,32.0,0.4,7.69,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171686/nutrients
168061,Acorn stew (Apache),Cereals and Tubers,,American Indian/Alaska Native Foods,100,g,95.0,6.81,9.22,3.47,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168061/nutrients
168992,"Agave, cooked (Southwest)",Cereals and Tubers,,American Indian/Alaska Native Foods,100,g,135.0,0.99,32.0,0.29,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168992/nutrients
168993,"Agave, dried (Southwest)",Cereals and Tubers,,American Indian/Alaska Native Foods,100,g,341.0,1.71,82.0,0.69,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168993/nutrients
169814,"Agave, raw (Southwest)",Cereals and Tubers,,American Indian/Alaska Native Foods,100,g,68.0,0.52,16.2,0.15,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169814/nutrients
169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",Milk and Dairy,,American Indian/Alaska Native Foods,100,g,470.0,9.0,10.5,43.5,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169823/nutrients
168976,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",Fruits,,American Indian/Alaska Native Foods,100,g,353.0,3.4,13.4,31.8,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168976/nutrients
168977,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",Milk and Dairy,,American Indian/Alaska Native Foods,100,g,258.0,21.7,0.9,18.6,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168977/nutrients
168749,"Alcoholic beverage, beer, light",Sugars and Sweets,,Beverages,100,g,29.0,0.24,1.64,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168749/nutrients
169572,"Alcoholic beverage, beer, light, BUD LIGHT",Sugars and Sweets,,Beverages,100,g,29.0,0.25,1.3,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169572/nutrients
168748,"Alcoholic beverage, beer, light, BUDWEISER SELECT",Sugars and Sweets,,Beverages,100,g,28.0,0.2,0.87,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168748/nutrients
174145,"Alcoholic beverage, beer, light, higher alcohol",Sugars and Sweets,,Beverages,100,g,46.0,0.25,0.77,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174145/nutrients
169575,"Alcoholic beverage, beer, light, low carb",Sugars and Sweets,,Beverages,100,g,27.0,0.17,0.73,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169575/nutrients
168746,"Alcoholic beverage, beer, regular, all",Sugars and Sweets,,Beverages,100,g,43.0,0.46,3.55,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168746/nutrients
168747,"Alcoholic beverage, beer, regular, BUDWEISER",Sugars and Sweets,,Beverages,100,g,41.0,0.36,2.97,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168747/nutrients
173168,"Alcoholic beverage, creme de menthe, 72 proof",Sugars and Sweets,,Beverages,100,g,371.0,0.0,41.6,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173168/nutrients
169573,"Alcoholic beverage, daiquiri, canned",Sugars and Sweets,,Beverages,100,g,125.0,0.0,15.7,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169573/nutrients
169574,"Alcoholic beverage, daiquiri, prepared-from-recipe",Sugars and Sweets,,Beverages,100,g,186.0,0.06,6.94,0.06,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169574/nutrients
173664,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",Sugars and Sweets,,Beverages,100,g,295.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173664/nutrients
174815,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",Sugars and Sweets,,Beverages,100,g,231.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174815/nutrients
171919,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",Sugars and Sweets,,Beverages,100,g,250.0,0.0,0.1,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171919/nutrients
171920,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",Sugars and Sweets,,Beverages,100,g,263.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171920/nutrients
173663,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",Sugars and Sweets,,Beverages,100,g,275.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173663/nutrients
174817,"Alcoholic beverage, distilled, rum, 80 proof",Sugars and Sweets,,Beverages,100,g,231.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174817/nutrients
174818,"Alcoholic beverage, distilled, vodka, 80 proof",Sugars and Sweets,,Beverages,100,g,231.0,0.0,0.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174818/nutrients
174819,"Alcoholic beverage, distilled, whiskey, 86 proof",Sugars and Sweets,,Beverages,100,g,250.0,0.0,0.1,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174819/nutrients
175098,"Alcoholic beverage, liqueur, coffee with cream, 34 proof",Milk and Dairy,,Beverages,100,g,327.0,2.8,20.9,15.7,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175098/nutrients
175097,"Alcoholic beverage, liqueur, coffee, 53 proof",Sugars and Sweets,,Beverages,100,g,336.0,0.1,46.8,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175097/nutrients
173665,"Alcoholic beverage, liqueur, coffee, 63 proof",Sugars and Sweets,,Beverages,100,g,308.0,0.1,32.2,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173665/nutrients
174141,"Alcoholic beverage, malt beer, hard lemonade",Sugars and Sweets,,Beverages,100,g,68.0,0.0,10.1,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174141/nutrients
168750,"Alcoholic beverage, pina colada, canned",Sugars and Sweets,,Beverages,100,g,237.0,0.6,27.6,7.6,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168750/nutrients
168752,"Alcoholic beverage, pina colada, prepared-from-recipe",Sugars and Sweets,,Beverages,100,g,174.0,0.42,22.7,1.88,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168752/nutrients
167723,"Alcoholic beverage, rice (sake)",Sugars and Sweets,,Beverages,100,g,134.0,0.5,5.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167723/nutrients
168753,"Alcoholic beverage, tequila sunrise, canned",Sugars and Sweets,,Beverages,100,g,110.0,0.3,11.3,0.1,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168753/nutrients
173662,"Alcoholic beverage, whiskey sour",Sugars and Sweets,,Beverages,100,g,149.0,0.0,13.2,0.03,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173662/nutrients
