"food_id","name","current_group_id","current_subgroup_id","current_serving_qty","current_serving_unit","recommended_group_id","recommended_subgroup_id","recommended_serving_qty","recommended_serving_unit","recommended_group_code","recommended_subgroup_code","evidence_source","confidence","action","canonical_data_source","external_match_group_alias","external_match_equi_qty","external_match_units","notes"
"166","Tortilla de harina de trigo","8","14","30","g","8","14","30","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"167","Tortilla de maíz azul","8","14","33.33","g","8","14","33.33","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"168","Tortilla taquera de maíz","8","14","33.33","g","8","14","33.33","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"169","Masa de maíz nixtamalizada","8","14","50","g","8","14","50","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"170","Amaranto reventado natural","8","14","23.08","g","8","14","23.08","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"171","Pinole de maíz","8","14","20","g","8","14","20","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"173","Tamal de elote natural","8","14","50","g","8","14","50","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"174","Elote cacahuacintle hervido","8","14","68.18","g","8","14","68.18","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"175","Arroz rojo mexicano cocido","8","13","53.57","g","8","13","53.57","g","carb","cereal_sin_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"176","Sopa de pasta mexicana cocida","8","14","60","g","8","14","60","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
"177","Galletas de animalito","8","14","20","g","8","14","20","g","carb","cereal_con_grasa","manual_override_required","low","keep","SMAE (México)","","","","No high-confidence serving evidence available; requires manual review | Serving requires manual override | Approved batch: protein+carb"
