"name","group_code","subgroup_code","portion_qty","portion_unit","calories_kcal","protein_g","carbs_g","fat_g","carbs_per_100","protein_per_100","fat_per_100","source_origin","source_group_alias","source_equi_qty","source_units","confidence","action"
"Arroz integral crudo","carb","cereal_sin_grasa","20","g","71.6","1.5","15.5","0.4","77.5","7.5","2","SMAE","CETU","20","t=200_","medium","candidate_insert"
"Azúcar de mesa","sugar","azucar_sin_grasa","8","g","28.8","0","7.2","0","90","0","0","SMAE","AZ","8","cc=4_","medium","candidate_insert"
"Azúcar granulada","sugar","azucar_sin_grasa","10","g","36","0","9","0","90","0","0","SMAE","AZ","10","cc=5_","medium","candidate_insert"
"Azúcar mascabado","sugar","azucar_sin_grasa","10","g","35.2","0","8.8","0","88","0","0","SMAE","AZ","10","cc=5_","medium","candidate_insert"
"Cajeta","sugar","azucar_con_grasa","14","g","56","0.81","10.04","1.4","71.7","5.8","10","SMAE","AZ","14","cc=7_","medium","candidate_insert"
"Ciruela pasa deshuesada","fruit","","32","g","80","0.8","19.2","0","60","2.5","0","SMAE","FR","32","p=8","medium","candidate_insert"
"Croutones","carb","cereal_con_grasa","20","g","80.86","2.4","14.8","1.34","74","12","6.7","SMAE2","CETUG","20","p=2","medium","candidate_insert"
"Cuerno","carb","cereal_con_grasa","28","g","126.26","2.94","14.9","6.1","53.2","10.5","21.8","SMAE","CETUG","28","p=84_","medium","candidate_insert"
"Fécula de maíz","carb","cereal_sin_grasa","16","g","57.6","0","14.4","0","90","0","0","SMAE","CETU","16","c=8_","medium","candidate_insert"
"Frijoles bayos refritos","legume","","75","g","92.54","3.83","11.7","3.38","15.6","5.1","4.5","SMAE","LEG","75","t=225_","medium","candidate_insert"
"Frijoles refritos peruanos","legume","","100","g","160","7.8","16.9","6.8","16.9","7.8","6.8","SMAE","LEG","100","t=225_","medium","candidate_insert"
"Fusili cocido","carb","cereal_sin_grasa","56","g","73.86","3.02","14.95","0.22","26.7","5.4","0.4","SMAE2","CETU","56","t=56_","medium","candidate_insert"
"Galleta de avena","carb","cereal_con_grasa","22","g","102.27","1.34","15.16","4.03","68.9","6.1","18.3","SMAE","CETUG","22","p=22_","medium","candidate_insert"
"Galleta de salvado","carb","cereal_con_grasa","45","g","134.86","4.46","15.17","6.26","33.7","9.9","13.9","SMAE","CETUG","45","p=5_","medium","candidate_insert"
"Galleta integral","carb","cereal_con_grasa","21","g","99.54","1.83","14.55","3.78","69.3","8.7","18","SMAE","CETUG","21","p=7_","medium","candidate_insert"
"Galleta maría","carb","cereal_sin_grasa","20","g","74.96","1.36","14.32","1.36","71.6","6.8","6.8","SMAE","CETU","20","p=4_","medium","candidate_insert"
"Galleta para sopa","carb","cereal_sin_grasa","20","g","75.76","1.36","14.52","1.36","72.6","6.8","6.8","SMAE2","CETU","20","p=2_","medium","candidate_insert"
"Galleta salada","carb","cereal_sin_grasa","20","g","86.62","1.76","14","2.62","70","8.8","13.1","SMAE","CETU","20","p=5_","medium","candidate_insert"
"Galleta salada integral","carb","cereal_sin_grasa","20","g","85.42","2","14","2.38","70","10","11.9","SMAE2","CETU","20","p=5_","medium","candidate_insert"
"Gelatina","sugar","azucar_sin_grasa","70","g","42.84","0.91","9.8","0","14","1.3","0","SMAE","AZ","70","t=140_","medium","candidate_insert"
